name,s1_lines,s1_words,s1_eps,s2_lines,s2_words,s2_eps,s3_lines,s3_words,s3_eps,all_lines,all_words,all_eps
male reporter alien 2,0,0,0,1,17,1,0,0,0,1,17,1
male voice,0,0,0,1,11,1,0,0,0,1,11,1
man,1,3,1,12,123,3,2,97,1,15,223,5
man #1,0,0,0,0,0,0,2,45,1,2,45,1
man #2,0,0,0,0,0,0,1,51,1,1,51,1
man with glasses,0,0,0,3,48,1,0,0,0,3,48,1
man with pitchfork,0,0,0,1,5,1,0,0,0,1,5,1
mar-sha,3,86,1,0,0,0,0,0,0,3,86,1
marine,0,0,0,0,0,0,1,44,1,1,44,1
mcdonald's drive-thru speaker,0,0,0,0,0,0,1,8,1,1,8,1
mechanical morty,0,0,0,0,0,0,9,185,1,9,185,1
mechanical rick,0,0,0,0,0,0,2,11,1,2,11,1
mechanical summer,0,0,0,0,0,0,8,62,1,8,62,1
meeseeks,23,268,1,0,0,0,0,0,0,23,268,1
meeseeks *,9,93,1,0,0,0,0,0,0,9,93,1
meeseeks 1,1,26,1,0,0,0,0,0,0,1,26,1
meeseeks 2,4,52,1,0,0,0,0,0,0,4,52,1
meeseeks 3,11,128,1,0,0,0,0,0,0,11,128,1
meeseeks 4,3,18,1,0,0,0,0,0,0,3,18,1
michael thompson,0,0,0,3,54,1,0,0,0,3,54,1
million ants,0,0,0,0,0,0,15,141,1,15,141,1
mitch,0,0,0,0,0,0,1,20,1,1,20,1
moderator rick,0,0,0,0,0,0,3,55,1,3,55,1
mohawk guy,0,0,0,0,0,0,2,2,1,2,2,1
monster teacher,3,52,1,0,0,0,0,0,0,3,52,1
morty,524,6124,11,317,3286,10,343,4307,10,1184,13717,31
morty & summer,0,0,0,1,2,1,0,0,0,1,2,1
morty 1,1,22,1,7,47,1,2,32,1,10,101,3
morty 1 & 4,0,0,0,1,6,1,0,0,0,1,6,1
morty 1 & summer 2,0,0,0,1,6,1,0,0,0,1,6,1
morty 1 2 and 3,0,0,0,2,6,1,0,0,0,2,6,1
morty 2,1,8,1,10,54,1,3,27,1,14,89,3
morty 2 3 and 4,0,0,0,1,1,1,0,0,0,1,1,1
morty 23,0,0,0,2,15,1,0,0,0,2,15,1
morty 3,0,0,0,1,6,1,0,0,0,1,6,1
morty 30,0,0,0,6,27,1,0,0,0,6,27,1
morty and summer,0,0,0,2,2,1,2,5,2,4,7,3
morty and summer in unison,1,3,1,0,0,0,1,1,1,2,4,2
morty bouncers,0,0,0,0,0,0,1,6,1,1,6,1
morty bouncers/cop morty,0,0,0,0,0,0,1,6,1,1,6,1
morty doll,1,4,1,0,0,0,0,0,0,1,4,1
morty jr,26,270,1,0,0,0,0,0,0,26,270,1
morty k-22,0,0,0,0,0,0,2,23,1,2,23,1
morty mart morty,0,0,0,0,0,0,3,31,1,3,31,1
mortytown loco,0,0,0,0,0,0,2,24,1,2,24,1
mory,0,0,0,1,3,1,0,0,0,1,3,1
mr poopybutthole,0,0,0,1,25,1,0,0,0,1,25,1
mr president,0,0,0,0,0,0,11,225,1,11,225,1
mr. beauregard,0,0,0,8,98,1,0,0,0,8,98,1
mr. booby buyer,2,16,1,0,0,0,0,0,0,2,16,1
mr. goldenfold,25,320,3,7,103,1,6,90,3,38,513,7
mr. jelly bean,7,49,1,0,0,0,0,0,0,7,49,1
mr. lunas,0,0,0,0,0,0,1,29,1,1,29,1
mr. marklevitz,13,54,1,0,0,0,0,0,0,13,54,1
mr. pancakes,1,9,1,0,0,0,0,0,0,1,9,1
mr. poopybutthole,0,0,0,16,289,2,0,0,0,16,289,2
mr. president,0,0,0,2,13,1,0,0,0,2,13,1
mr. slimslom,0,0,0,2,17,1,0,0,0,2,17,1
mr. sneezy 3d,1,5,1,0,0,0,0,0,0,1,5,1
mr. tophat jones,2,176,1,0,0,0,0,0,0,2,176,1
mr.goldenfold,2,10,1,0,0,0,0,0,0,2,10,1
mr.president,0,0,0,9,92,1,0,0,0,9,92,1
mrs refrigerator,0,0,0,2,67,1,0,0,0,2,67,1
mrs. pancakes,8,36,1,0,0,0,1,4,1,9,40,2
mrs. refrigerator,0,0,0,2,8,1,0,0,0,2,8,1
ms mr and rick in unison,0,0,0,0,0,0,1,2,1,1,2,1
muscular mannies,1,2,1,0,0,0,0,0,0,1,2,1
nancy,5,75,1,0,0,0,0,0,0,5,75,1
nano-doctor,0,0,0,1,1,1,0,0,0,1,1,1
narrator,0,0,0,1,116,1,8,188,1,9,304,2
nathan,0,0,0,10,115,1,0,0,0,10,115,1
nazi,0,0,0,2,56,1,0,0,0,2,56,1
needful,39,355,1,0,0,0,0,0,0,39,355,1
negotiator rick,0,0,0,0,0,0,6,95,1,6,95,1
new meeseeks,2,11,1,0,0,0,0,0,0,2,11,1
new yorker,1,11,1,0,0,0,0,0,0,1,11,1
news anchor,1,20,1,0,0,0,0,0,0,1,20,1
nicky,0,0,0,6,96,1,0,0,0,6,96,1
noob-noob,0,0,0,0,0,0,5,34,1,5,34,1
note,1,18,1,0,0,0,1,26,1,2,44,2
nurse,0,0,0,3,3,1,0,0,0,3,3,1
octopus man,0,0,0,2,86,1,0,0,0,2,86,1
off screen student,0,0,0,0,0,0,1,2,1,1,2,1
off screen student 2,0,0,0,0,0,0,1,2,1,1,2,1
officer,0,0,0,2,20,1,0,0,0,2,20,1
officer rick 1,0,0,0,0,0,0,2,21,1,2,21,1
officer rick 2,0,0,0,0,0,0,1,7,1,1,7,1
old alien,0,0,0,1,81,1,0,0,0,1,81,1
old guy,0,0,0,5,36,1,0,0,0,5,36,1
old man,2,4,1,0,0,0,0,0,0,2,4,1
operator,0,0,0,1,16,1,0,0,0,1,16,1
other gromflomite,1,10,1,0,0,0,0,0,0,1,10,1
other jerry,0,0,0,6,46,1,0,0,0,6,46,1
other jerrys,0,0,0,1,6,1,0,0,0,1,6,1
other morty,0,0,0,1,5,1,0,0,0,1,5,1
other rick,0,0,0,3,21,1,0,0,0,3,21,1
other ricks,0,0,0,0,0,0,1,11,1,1,11,1
owner,1,14,1,0,0,0,0,0,0,1,14,1
pa system,0,0,0,0,0,0,1,48,1,1,48,1
pajama jerry,0,0,0,2,9,1,0,0,0,2,9,1
paramedic,1,21,1,0,0,0,0,0,0,1,21,1
passengers,1,12,1,0,0,0,0,0,0,1,12,1
pastor bob,0,0,0,2,33,1,0,0,0,2,33,1
paul,0,0,0,3,80,1,0,0,0,3,80,1
pencilvester,0,0,0,7,77,1,0,0,0,7,77,1
phillip jacobs,0,0,0,4,166,1,0,0,0,4,166,1
phoenixperson,0,0,0,0,0,0,1,1,1,1,1,1
phone 1,1,13,1,0,0,0,0,0,0,1,13,1
phone 2,1,12,1,0,0,0,0,0,0,1,12,1
phone waiter,1,3,1,0,0,0,0,0,0,1,3,1
photography cyborg,0,0,0,1,40,1,0,0,0,1,40,1
pichael thompson,0,0,0,3,62,1,0,0,0,3,62,1
pichael thomson,0,0,0,2,62,1,0,0,0,2,62,1
pickle rick,0,0,0,0,0,0,80,1113,1,80,1113,1
pink-shirt jerry,0,0,0,3,10,1,0,0,0,3,10,1
pizza 1,1,12,1,0,0,0,0,0,0,1,12,1
pizza 2,1,13,1,0,0,0,0,0,0,1,13,1
pizza derivery man,0,0,0,3,35,1,0,0,0,3,35,1
plane passenger,1,3,1,0,0,0,0,0,0,1,3,1
plane passengers,2,2,1,0,0,0,0,0,0,2,2,1
plumber rick,0,0,0,0,0,0,2,29,1,2,29,1
plutonian man,1,6,1,0,0,0,0,0,0,1,6,1
plutonian woman,1,14,1,0,0,0,0,0,0,1,14,1
plutonians,1,1,1,0,0,0,0,0,0,1,1,1
police chief,4,90,1,0,0,0,0,0,0,4,90,1
policeman,1,6,1,0,0,0,0,0,0,1,6,1
poncho,14,179,1,0,0,0,0,0,0,14,179,1
president,0,0,0,27,332,1,45,757,1,72,1089,2
president morty,0,0,0,0,0,0,7,102,1,7,102,1
priest,0,0,0,0,0,0,3,25,1,3,25,1
prince nebulon,14,367,1,0,0,0,0,0,0,14,367,1
principal gene v.,1,33,1,0,0,0,0,0,0,1,33,1
principal vagina,7,222,2,18,370,1,8,103,1,33,695,4
prison photography cyborg,0,0,0,1,15,1,0,0,0,1,15,1
psychopath morty,0,0,0,0,0,0,1,5,1,1,5,1
purple suit rick,0,0,0,0,0,0,1,49,1,1,49,1
purple trunk morty,0,0,0,0,0,0,1,3,1,1,3,1
purple-p,0,0,0,1,4,1,0,0,0,1,4,1
quantum rick/rick,0,0,0,0,0,0,2,29,1,2,29,1
radio,1,8,1,0,0,0,1,3,1,2,11,2
random jerry,0,0,0,1,15,1,0,0,0,1,15,1
random rick,0,0,0,0,0,0,1,7,1,1,7,1
randy dicknose,0,0,0,2,84,1,0,0,0,2,84,1
receptionist,0,0,0,1,9,1,0,0,0,1,9,1
regular legs,4,29,1,0,0,0,0,0,0,4,29,1
religious morty,3,41,1,0,0,0,0,0,0,3,41,1
reporter,6,126,2,0,0,0,0,0,0,6,126,2
reporter rick,0,0,0,0,0,0,1,9,1,1,9,1
restaurant chef,0,0,0,4,52,1,0,0,0,4,52,1
resturant chef,0,0,0,1,38,1,0,0,0,1,38,1
retired general rick,0,0,0,0,0,0,2,5,1,2,5,1
reverse,0,0,0,1,28,1,0,0,0,1,28,1
reverse giraffe,0,0,0,5,94,1,0,0,0,5,94,1
reverse rick outrage,0,0,0,0,0,0,1,7,1,1,7,1
rich asshole,0,0,0,2,35,1,0,0,0,2,35,1
rick,671,12962,11,540,8865,10,467,7619,10,1678,29446,31
rick /rick,0,0,0,0,0,0,1,12,1,1,12,1
rick 1,20,239,1,7,45,1,0,0,0,27,284,2
rick 1 2 and 3,0,0,0,2,5,1,0,0,0,2,5,1
rick 1 and 2,1,1,1,0,0,0,0,0,0,1,1,1
rick 2,7,47,1,8,54,1,0,0,0,15,101,2
rick 23,0,0,0,3,66,1,0,0,0,3,66,1
rick 3,1,22,1,0,0,0,0,0,0,1,22,1
rick 30,0,0,0,7,105,1,0,0,0,7,105,1
rick 4,1,10,1,2,11,1,0,0,0,3,21,2
rick and ice-t,0,0,0,1,5,1,0,0,0,1,5,1
rick and morty,0,0,0,2,2,2,1,1,1,3,3,3
rick and needful,1,2,1,0,0,0,0,0,0,1,2,1
rick and the song,1,48,1,0,0,0,0,0,0,1,48,1
rick council 1,8,130,1,0,0,0,0,0,0,8,130,1
rick crowd,2,17,1,0,0,0,0,0,0,2,17,1
rick d. sanchez iii,0,0,0,0,0,0,5,105,1,5,105,1
rick d716,0,0,0,0,0,0,8,105,1,8,105,1
rick d716-b,0,0,0,0,0,0,6,70,1,6,70,1
rick d716-c,0,0,0,0,0,0,1,45,1,1,45,1
rick guilt rick,0,0,0,0,0,0,1,24,1,1,24,1
rick j-22,0,0,0,0,0,0,9,125,1,9,125,1
rick k-22,0,0,0,0,0,0,5,83,1,5,83,1
rick pa announcer,0,0,0,0,0,0,1,19,1,1,19,1
rick prime,0,0,0,0,0,0,5,147,1,5,147,1
rick reporter,0,0,0,0,0,0,1,14,1,1,14,1
rick salesman 1,1,14,1,0,0,0,0,0,0,1,14,1
rick salesman 2,1,4,1,0,0,0,0,0,0,1,4,1
rick salseman 3,1,17,1,0,0,0,0,0,0,1,17,1
rick worker,0,0,0,0,0,0,2,11,1,2,11,1
rick zeep,0,0,0,1,1,1,0,0,0,1,1,1
rick/rick,0,0,0,0,0,0,4,31,1,4,31,1
ricks,0,0,0,1,4,1,0,0,0,1,4,1
ricktiminus sancheziminius,0,0,0,0,0,0,1,5,1,1,5,1
rioter,0,0,0,2,14,1,0,0,0,2,14,1
riq iv,0,0,0,0,0,0,13,155,1,13,155,1
risotto,0,0,0,0,0,0,4,94,1,4,94,1
robot,0,0,0,2,37,1,0,0,0,2,37,1
robot voice,2,6,1,0,0,0,0,0,0,2,6,1
roger,9,168,1,0,0,0,0,0,0,9,168,1
ron benson,0,0,0,2,46,1,0,0,0,2,46,1
roy,0,0,0,4,23,1,0,0,0,4,23,1
roy’s mother,0,0,0,2,28,1,0,0,0,2,28,1
roy’s wife,0,0,0,2,26,1,0,0,0,2,26,1
ruben,2,3,1,0,0,0,0,0,0,2,3,1
samantha,2,17,1,2,29,1,0,0,0,4,46,2
scary glenn,1,73,1,0,0,0,0,0,0,1,73,1
scary melissa,5,37,1,0,0,0,0,0,0,5,37,1
scary terry,18,148,1,0,0,0,0,0,0,18,148,1
scroopy noopers,8,188,1,0,0,0,0,0,0,8,188,1
seal team rick leader,0,0,0,0,0,0,2,10,1,2,10,1
secretary,0,0,0,3,22,1,0,0,0,3,22,1
sexualized s&m monster,3,9,1,0,0,0,0,0,0,3,9,1
ship,0,0,0,17,214,2,0,0,0,17,214,2
shirtless guy,4,12,1,0,0,0,0,0,0,4,12,1
shmlony,2,5,1,0,0,0,0,0,0,2,5,1
simon,0,0,0,4,60,1,0,0,0,4,60,1
simple rick,0,0,0,0,0,0,2,13,1,2,13,1
simulation beth,5,16,1,0,0,0,0,0,0,5,16,1
slaveowner,0,0,0,0,0,0,5,72,1,5,72,1
sleepy gary,0,0,0,8,146,1,0,0,0,8,146,1
slick,0,0,0,0,0,0,10,198,1,10,198,1
slippery,2,28,1,0,0,0,0,0,0,2,28,1
slow mobius,1,13,1,0,0,0,0,0,0,1,13,1
snoopy bloopers,0,0,0,0,0,0,1,23,1,1,23,1
snuffles,23,273,1,0,0,0,0,0,0,23,273,1
sofa 1,1,12,1,0,0,0,0,0,0,1,12,1
sofa 2,1,11,1,0,0,0,0,0,0,1,11,1
soldier,0,0,0,3,10,1,6,56,1,9,66,2
song,2,36,1,0,0,0,0,0,0,2,36,1
speaker system,0,0,0,0,0,0,3,16,1,3,16,1
spider,0,0,0,1,7,1,0,0,0,1,7,1
spokeman,1,15,1,0,0,0,0,0,0,1,15,1
spokesman,2,63,1,0,0,0,0,0,0,2,63,1
squanchy,8,65,1,6,59,1,0,0,0,14,124,2
stacey,0,0,0,0,0,0,2,7,1,2,7,1
stacy,0,0,0,0,0,0,8,61,1,8,61,1
stealy,0,0,0,4,112,1,0,0,0,4,112,1
stereo,1,13,1,0,0,0,0,0,0,1,13,1
steve jobs rick,0,0,0,0,0,0,2,22,1,2,22,1
steven phillips,0,0,0,1,13,1,0,0,0,1,13,1
stu,3,46,1,0,0,0,0,0,0,3,46,1
student,1,9,1,0,0,0,0,0,0,1,9,1
student with glasses,0,0,0,0,0,0,1,7,1,1,7,1
students,0,0,0,0,0,0,3,16,1,3,16,1
summer,198,2146,10,180,1552,9,111,1241,9,489,4939,28
summer 1,0,0,0,10,45,1,0,0,0,10,45,1
summer 1 & morty 2,0,0,0,1,9,1,0,0,0,1,9,1
summer 1 2 and 3,0,0,0,2,9,1,0,0,0,2,9,1
summer 2,0,0,0,6,32,1,0,0,0,6,32,1
summer 2 or 4 after splitting into 4,0,0,0,1,2,1,0,0,0,1,2,1
summer 23,0,0,0,1,2,1,0,0,0,1,2,1
summer 4,0,0,0,2,6,1,0,0,0,2,6,1
summer and morty,0,0,0,3,8,2,1,4,1,4,12,3
summer prime,0,0,0,0,0,0,1,10,1,1,10,1
summer smith prime,0,0,0,0,0,0,1,9,1,1,9,1
summers 1 2 3 8 9 10 12 17 18 20 25 28 29 31,0,0,0,1,3,1,0,0,0,1,3,1
summers 1 3 4 5 7 8 10 11 14 16 18 19 23 25 27 28,0,0,0,1,2,1,0,0,0,1,2,1
summers 2 & 3,0,0,0,1,9,1,0,0,0,1,9,1
summers 2 6 9 12 13 15 17 20 21 22 24 26 29 30 31 32,0,0,0,1,3,1,0,0,0,1,3,1
supernova,0,0,0,0,0,0,44,451,1,44,451,1
supervisor rick,0,0,0,0,0,0,2,98,1,2,98,1
suspender guy,1,15,1,0,0,0,0,0,0,1,15,1
swat officer 1,0,0,0,11,76,1,0,0,0,11,76,1
swat officer 2,0,0,0,1,4,1,0,0,0,1,4,1
swat team rick,0,0,0,0,0,0,1,3,1,1,3,1
swat team rick 1,0,0,0,0,0,0,1,16,1,1,16,1
swat team rick 2,0,0,0,0,0,0,1,3,1,1,3,1
taddi mason,0,0,0,6,53,1,0,0,0,6,53,1
tall morty,0,0,0,0,0,0,1,6,1,1,6,1
tammy,6,64,1,6,135,2,4,31,1,16,230,4
tammy's voice,0,0,0,2,15,1,0,0,0,2,15,1
tank-top jerry,0,0,0,4,36,1,0,0,0,4,36,1
tate,3,32,1,0,0,0,0,0,0,3,32,1
taxi driver,0,0,0,1,2,1,0,0,0,1,2,1
teacher,0,0,0,1,37,1,0,0,0,1,37,1
teacher rick,0,0,0,0,0,0,8,126,1,8,126,1
teenyverse president,0,0,0,3,16,1,0,0,0,3,16,1
teleportation worker rick,0,0,0,0,0,0,1,24,1,1,24,1
teleporter worker rick,0,0,0,0,0,0,1,11,1,1,11,1
terry,0,0,0,2,42,1,0,0,0,2,42,1
testicle monster a,0,0,0,27,462,1,0,0,0,27,462,1
testicle monster b,0,0,0,4,37,1,0,0,0,4,37,1
the first villager,2,32,1,0,0,0,0,0,0,2,32,1
thinner man,0,0,0,3,56,1,0,0,0,3,56,1
this just in,1,6,1,0,0,0,0,0,0,1,6,1
tinkles,0,0,0,4,31,1,0,0,0,4,31,1
together,0,0,0,0,0,0,1,12,1,1,12,1
tom,6,47,2,0,0,0,0,0,0,6,47,2
tour guide,2,48,1,0,0,0,0,0,0,2,48,1
toxic morty,0,0,0,0,0,0,25,195,1,25,195,1
toxic rick,0,0,0,0,0,0,54,995,1,54,995,1
tricia,0,0,0,0,0,0,5,53,1,5,53,1
trunkperson,1,49,1,0,0,0,0,0,0,1,49,1
tuxedo jerry,0,0,0,1,6,1,0,0,0,1,6,1
tv,2,60,1,1,8,1,1,30,1,4,98,3
tv host,0,0,0,3,46,1,0,0,0,3,46,1
uncle steve,0,0,0,4,89,1,0,0,0,4,89,1
underpants jerry,0,0,0,1,2,1,0,0,0,1,2,1
unity,0,0,0,56,846,1,0,0,0,56,846,1
unmuscular michael 1,1,4,1,0,0,0,0,0,0,1,4,1
vagina,2,15,1,0,0,0,0,0,0,2,15,1
vance,0,0,0,0,0,0,17,248,1,17,248,1
various jerrys,0,0,0,1,5,1,0,0,0,1,5,1
vet,0,0,0,9,88,1,0,0,0,9,88,1
villager,1,25,1,0,0,0,0,0,0,1,25,1
villager 1,1,39,1,0,0,0,0,0,0,1,39,1
villager 2,1,27,1,0,0,0,0,0,0,1,27,1
voice,0,0,0,1,16,1,0,0,0,1,16,1
voice through speaker,2,16,1,0,0,0,0,0,0,2,16,1
waiter,1,2,1,0,0,0,1,7,1,2,9,2
waitess,1,10,1,0,0,0,0,0,0,1,10,1
waitress,2,36,1,0,0,0,0,0,0,2,36,1
water-t,0,0,0,2,7,1,0,0,0,2,7,1
wind,0,0,0,0,0,0,2,4,1,2,4,1
woman,4,25,3,1,1,1,2,64,2,7,90,6
worf lady,0,0,0,1,19,1,0,0,0,1,19,1
worker,0,0,0,0,0,0,1,10,1,1,10,1
worker 2,0,0,0,0,0,0,1,15,1,1,15,1
worker in a red shirt,0,0,0,0,0,0,1,7,1,1,7,1
worker rick,0,0,0,0,0,0,2,27,1,2,27,1
worldender,0,0,0,0,0,0,1,3,1,1,3,1
yaarb,0,0,0,1,2,1,0,0,0,1,2,1
yellow headed doctor,0,0,0,5,19,1,0,0,0,5,19,1
young beth,0,0,0,0,0,0,1,3,1,1,3,1
young rick,0,0,0,0,0,0,9,90,1,9,90,1
zeep,0,0,0,41,458,1,0,0,0,41,458,1
zerillian prisoner,0,0,0,1,6,1,0,0,0,1,6,1
zeta alpha rick,0,0,0,0,0,0,1,5,1,1,5,1
zigerion,1,5,1,0,0,0,0,0,0,1,5,1
zigerion 1,4,28,1,0,0,0,0,0,0,4,28,1
zigerion 2,1,8,1,0,0,0,0,0,0,1,8,1
zigerion 3,1,13,1,0,0,0,0,0,0,1,13,1
