name,word_1_text,word_1_count,word_2_text,word_2_count,word_3_text,word_3_count,word_4_text,word_4_count,word_5_text,word_5_count,word_6_text,word_6_count,word_7_text,word_7_count,word_8_text,word_8_count,word_9_text,word_9_count,word_10_text,word_10_count,3gram_1_text,3gram_1_count,3gram_2_text,3gram_2_count,3gram_3_text,3gram_3_count,3gram_4_text,3gram_4_count,3gram_5_text,3gram_5_count,3gram_6_text,3gram_6_count,3gram_7_text,3gram_7_count,3gram_8_text,3gram_8_count,3gram_9_text,3gram_9_count,3gram_10_text,3gram_10_count,4gram_1_text,4gram_1_count,4gram_2_text,4gram_2_count,4gram_3_text,4gram_3_count,4gram_4_text,4gram_4_count,4gram_5_text,4gram_5_count,4gram_6_text,4gram_6_count,4gram_7_text,4gram_7_count,4gram_8_text,4gram_8_count,4gram_9_text,4gram_9_count,4gram_10_text,4gram_10_count,5gram_1_text,5gram_1_count,5gram_2_text,5gram_2_count,5gram_3_text,5gram_3_count,5gram_4_text,5gram_4_count,5gram_5_text,5gram_5_count,5gram_6_text,5gram_6_count,5gram_7_text,5gram_7_count,5gram_8_text,5gram_8_count,5gram_9_text,5gram_9_count,5gram_10_text,5gram_10_count
dr. wong,think,11,family,7,pickle,5,about,4,come,3,grandpa,3,way,3,syringe,3,rick,3,mind,3,i think its,3,you chose to,3,himself into a,2,into a pickle,2,in the syringe,2,think its possible,2,its possible that,2,what do you,2,do you think,2,your family is,2,himself into a pickle,2,i think its possible,2,think its possible that,2,smith family im dr,1,family im dr wong,1,im dr wong come,1,dr wong come on,1,wong come on in,1,i was told there,1,was told there was,1,i think its possible that,2,smith family im dr wong,1,family im dr wong come,1,im dr wong come on,1,dr wong come on in,1,i was told there was,1,was told there was a,1,told there was a grandpa,1,there was a grandpa that,1,was a grandpa that might,1
drunk rick,know,9,vindicators,7,one,6,dont,6,okay,5,youre,4,shit,4,thing,4,their,4,thats,4,thats a threepointer,4,the vindicators are,3,congrats you did,3,you did it,3,is to fight,2,to rest my,2,check check one,1,check one two,1,one two okay,1,two okay is,1,congrats you did it,3,check check one two,1,check one two okay,1,one two okay is,1,two okay is it,1,okay is it recording,1,is it recording good,1,it recording good hello,1,recording good hello vindicators,1,good hello vindicators welcome,1,check check one two okay,1,check one two okay is,1,one two okay is it,1,two okay is it recording,1,okay is it recording good,1,is it recording good hello,1,it recording good hello vindicators,1,recording good hello vindicators welcome,1,good hello vindicators welcome to,1,hello vindicators welcome to your,1
eli,ha,2,summer,2,begins,1,pretties,1,whoo,1,unbelievable,1,new,1,champ,1,wants,1,hi,1,and so it,1,so it begins,1,it begins my,1,begins my pretties,1,ha ha whoo,1,ha whoo unbelievable,1,whoo unbelievable a,1,unbelievable a new,1,a new champ,1,and he wants,1,and so it begins,1,so it begins my,1,it begins my pretties,1,ha ha whoo unbelievable,1,ha whoo unbelievable a,1,whoo unbelievable a new,1,unbelievable a new champ,1,and he wants more,1,hi there summer how,1,there summer how were,1,and so it begins my,1,so it begins my pretties,1,ha ha whoo unbelievable a,1,ha whoo unbelievable a new,1,whoo unbelievable a new champ,1,hi there summer how were,1,there summer how were the,1,summer how were the ruins,1,how were the ruins today,1,uh summer one more thing,1
ethan,summer,5,feel,2,his,2,eyes,2,cant,2,girl,2,pardon,1,mr,1,mrs,1,smith,1,pardon mr and,1,mr and mrs,1,and mrs smith,1,mrs smith summer,1,smith summer are,1,summer are you,1,are you coming,1,you coming to,1,coming to the,1,to the ascension,1,pardon mr and mrs,1,mr and mrs smith,1,and mrs smith summer,1,mrs smith summer are,1,smith summer are you,1,summer are you coming,1,are you coming to,1,you coming to the,1,coming to the ascension,1,ive been texting you,1,pardon mr and mrs smith,1,mr and mrs smith summer,1,and mrs smith summer are,1,mrs smith summer are you,1,smith summer are you coming,1,summer are you coming to,1,are you coming to the,1,you coming to the ascension,1,ive been texting you for,1,been texting you for hours,1
evil rick,rick,6,youre,5,not,5,see,3,right,3,look,2,isnt,2,thats,2,morty,2,think,2,ooh look at,1,look at you,1,at you c137,1,you c137 youre,1,c137 youre arent,1,youre arent you,1,arent you a,1,you a tough,1,a tough customer,1,not in this,1,ooh look at you,1,look at you c137,1,at you c137 youre,1,you c137 youre arent,1,c137 youre arent you,1,youre arent you a,1,arent you a tough,1,you a tough customer,1,not in this dimension,1,in this dimension it,1,ooh look at you c137,1,look at you c137 youre,1,at you c137 youre arent,1,you c137 youre arent you,1,c137 youre arent you a,1,youre arent you a tough,1,arent you a tough customer,1,not in this dimension it,1,in this dimension it isnt,1,this dimension it isnt in,1
eyehole man,eyeholes,6,eyehole,4,man,4,give,3,get,2,only,1,one,1,allowed,1,outta,1,,0,give me my,3,me my eyeholes,3,im the eyehole,2,the eyehole man,2,here with my,2,with my eyeholes,2,im eyehole man,2,eyehole man im,1,man im the,1,im the only,1,give me my eyeholes,3,im the eyehole man,2,here with my eyeholes,2,the eyehole man im,1,eyehole man im the,1,man im the only,1,im the only one,1,the only one whose,1,only one whose allowed,1,one whose allowed to,1,im the eyehole man im,1,the eyehole man im the,1,eyehole man im the only,1,man im the only one,1,im the only one whose,1,the only one whose allowed,1,only one whose allowed to,1,one whose allowed to have,1,whose allowed to have eyeholes,1,allowed to have eyeholes get,1
fake doors salesman,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
fart,life,7,call,7,morty,7,moonmen,7,goodbye,6,through,4,la,4,fart,3,am,3,one,3,what you call,6,cosmos without hatred,3,more are coming,2,in what you,2,la la la,2,the world can,2,world can be,2,can be one,2,be one together,2,one together cosmos,2,in what you call,2,the world can be,2,world can be one,2,can be one together,2,be one together cosmos,2,one together cosmos without,2,together cosmos without hatred,2,cosmos without hatred stars,2,without hatred stars like,2,hatred stars like diamonds,2,the world can be one,2,world can be one together,2,can be one together cosmos,2,be one together cosmos without,2,one together cosmos without hatred,2,together cosmos without hatred stars,2,cosmos without hatred stars like,2,without hatred stars like diamonds,2,hatred stars like diamonds in,2,stars like diamonds in your,2
fat morty,morty,4,portal,3,wishing,2,slick,2,wish,2,his,2,panini,2,maker,2,not,1,myth,1,the wishing portal,2,its not a,1,not a myth,1,a myth mmmy,1,myth mmmy first,1,mmmy first ricks,1,first ricks fourth,1,ricks fourth morty,1,fourth morty knew,1,morty knew a,1,its not a myth,1,not a myth mmmy,1,a myth mmmy first,1,myth mmmy first ricks,1,mmmy first ricks fourth,1,first ricks fourth morty,1,ricks fourth morty knew,1,fourth morty knew a,1,morty knew a rick,1,knew a rick whose,1,its not a myth mmmy,1,not a myth mmmy first,1,a myth mmmy first ricks,1,myth mmmy first ricks fourth,1,mmmy first ricks fourth morty,1,first ricks fourth morty knew,1,ricks fourth morty knew a,1,fourth morty knew a rick,1,morty knew a rick whose,1,knew a rick whose morty,1
flippynips,pluto,5,jerry,4,planet,4,cold,4,people,2,scientist,2,about,2,ooh,2,plutonimo,2,bay,2,pluto is a,2,is a cold,2,a cold cold,2,im king flippynips,1,king flippynips ruler,1,flippynips ruler of,1,ruler of pluto,1,we discovered you,1,discovered you quite,1,you quite by,1,pluto is a cold,2,is a cold cold,2,im king flippynips ruler,1,king flippynips ruler of,1,flippynips ruler of pluto,1,we discovered you quite,1,discovered you quite by,1,you quite by accident,1,quite by accident during,1,by accident during routine,1,pluto is a cold cold,2,im king flippynips ruler of,1,king flippynips ruler of pluto,1,we discovered you quite by,1,discovered you quite by accident,1,you quite by accident during,1,quite by accident during routine,1,by accident during routine surveillance,1,accident during routine surveillance of,1,during routine surveillance of your,1
frankenstein,rick,3,about,2,paranoid,2,guess,1,take,1,back,1,said,1,british,1,cuisine,1,sure,1,i guess i,1,guess i take,1,i take back,1,take back what,1,back what i,1,what i said,1,i said about,1,said about british,1,about british cuisine,1,you sure about,1,i guess i take,1,guess i take back,1,i take back what,1,take back what i,1,back what i said,1,what i said about,1,i said about british,1,said about british cuisine,1,you sure about that,1,sure about that rick,1,i guess i take back,1,guess i take back what,1,i take back what i,1,take back what i said,1,back what i said about,1,what i said about british,1,i said about british cuisine,1,you sure about that rick,1,i will admit its suspicious,1,will admit its suspicious that,1
gearhead,gears,4,years,3,rick,3,wars,3,gear,3,about,3,really,2,entire,2,people,2,calling,2,the gear wars,2,your geldon convertor,1,geldon convertor is,1,convertor is pretty,1,is pretty dinged,1,pretty dinged up,1,actually its because,1,its because of,1,because of years,1,of years of,1,your geldon convertor is,1,geldon convertor is pretty,1,convertor is pretty dinged,1,is pretty dinged up,1,actually its because of,1,its because of years,1,because of years of,1,of years of neglect,1,years of neglect you,1,of neglect you really,1,your geldon convertor is pretty,1,geldon convertor is pretty dinged,1,convertor is pretty dinged up,1,actually its because of years,1,its because of years of,1,because of years of neglect,1,of years of neglect you,1,years of neglect you really,1,of neglect you really need,1,neglect you really need to,1
glasses morty,slick,2,maybe,2,thats,1,myth,1,too,1,implant,1,isnt,1,okay,1,also,1,roll,1,thats a myth,1,slick that implant,1,that implant isnt,1,implant isnt who,1,isnt who you,1,who you are,1,you are okay,1,are okay you,1,okay you also,1,you also roll,1,slick that implant isnt,1,that implant isnt who,1,implant isnt who you,1,isnt who you are,1,who you are okay,1,you are okay you,1,are okay you also,1,okay you also roll,1,you also roll up,1,also roll up your,1,slick that implant isnt who,1,that implant isnt who you,1,implant isnt who you are,1,isnt who you are okay,1,who you are okay you,1,you are okay you also,1,are okay you also roll,1,okay you also roll up,1,you also roll up your,1,also roll up your sleeves,1
goldenfold,oh,2,jamba,2,juice,2,know,2,made,2,stop,1,name,1,thats,1,disarming,1,lonely,1,oh when did,1,when did this,1,did this stop,1,this stop being,1,stop being jamba,1,being jamba juice,1,you know my,1,know my name,1,my name thats,1,name thats disarming,1,oh when did this,1,when did this stop,1,did this stop being,1,this stop being jamba,1,stop being jamba juice,1,you know my name,1,know my name thats,1,my name thats disarming,1,you know it has,1,know it has been,1,oh when did this stop,1,when did this stop being,1,did this stop being jamba,1,this stop being jamba juice,1,you know my name thats,1,know my name thats disarming,1,you know it has been,1,know it has been lonely,1,it has been lonely since,1,has been lonely since the,1
gromflomite,open,2,fire,2,through,2,go,2,new,2,machine,2,drop,1,gun,1,guess,1,makes,1,drop the gun,1,i guess that,1,guess that makes,1,that makes two,1,makes two of,1,two of us,1,of us fires,1,us fires up,1,fires up his,1,up his weapon,1,i guess that makes,1,guess that makes two,1,that makes two of,1,makes two of us,1,two of us fires,1,of us fires up,1,us fires up his,1,fires up his weapon,1,get out of the,1,out of the vehicle,1,i guess that makes two,1,guess that makes two of,1,that makes two of us,1,makes two of us fires,1,two of us fires up,1,of us fires up his,1,us fires up his weapon,1,get out of the vehicle,1,out of the vehicle made,1,of the vehicle made of,1
gromflomite worker,yes,3,hard,1,tell,1,manifested,1,sort,1,butt,1,smartest,1,man,1,universe,1,transition,1,its hard to,1,hard to tell,1,to tell he,1,tell he may,1,he may have,1,may have manifested,1,have manifested some,1,manifested some sort,1,some sort of,1,sort of butt,1,its hard to tell,1,hard to tell he,1,to tell he may,1,tell he may have,1,he may have manifested,1,may have manifested some,1,have manifested some sort,1,manifested some sort of,1,some sort of butt,1,he is the smartest,1,its hard to tell he,1,hard to tell he may,1,to tell he may have,1,tell he may have manifested,1,he may have manifested some,1,may have manifested some sort,1,have manifested some sort of,1,manifested some sort of butt,1,he is the smartest man,1,is the smartest man in,1
guy,sundown,2,general,1,store,1,ought,1,need,1,course,1,youll,1,wanting,1,gone,1,festival,1,the general store,1,general store ought,1,store ought to,1,ought to have,1,to have what,1,have what you,1,what you need,1,of course youll,1,course youll be,1,youll be wanting,1,the general store ought,1,general store ought to,1,store ought to have,1,ought to have what,1,to have what you,1,have what you need,1,of course youll be,1,course youll be wanting,1,youll be wanting to,1,be wanting to be,1,the general store ought to,1,general store ought to have,1,store ought to have what,1,ought to have what you,1,to have what you need,1,of course youll be wanting,1,course youll be wanting to,1,youll be wanting to be,1,be wanting to be gone,1,wanting to be gone from,1
hemorrhage,us,5,dont,3,one,3,ding,3,weak,2,blood,2,our,2,only,2,think,2,leave,2,i think i,2,there is no,2,i am hemorrhage,1,am hemorrhage you,1,hemorrhage you have,1,you have removed,1,have removed weak,1,removed weak blood,1,weak blood from,1,blood from us,1,i am hemorrhage you,1,am hemorrhage you have,1,hemorrhage you have removed,1,you have removed weak,1,have removed weak blood,1,removed weak blood from,1,weak blood from us,1,blood from us and,1,from us and made,1,us and made us,1,i am hemorrhage you have,1,am hemorrhage you have removed,1,hemorrhage you have removed weak,1,you have removed weak blood,1,have removed weak blood from,1,removed weak blood from us,1,weak blood from us and,1,blood from us and made,1,from us and made us,1,us and made us stronger,1
ice-t,man,4,care,3,right,2,hes,2,lobster,2,one,2,ready,2,damn,2,get,2,shit,2,a squeegee comes,1,squeegee comes up,1,comes up from,1,up from the,1,from the garage,1,the garage right,1,garage right and,1,right and hes,1,and hes got,1,hes got a,1,a squeegee comes up,1,squeegee comes up from,1,comes up from the,1,up from the garage,1,from the garage right,1,the garage right and,1,garage right and hes,1,right and hes got,1,and hes got a,1,hes got a lobster,1,a squeegee comes up from,1,squeegee comes up from the,1,comes up from the garage,1,up from the garage right,1,from the garage right and,1,the garage right and hes,1,garage right and hes got,1,right and hes got a,1,and hes got a lobster,1,hes got a lobster in,1
jacob,jerry,4,man,4,oh,3,apron,2,got,2,christmas,2,food,2,mouth,2,puts,2,hand,2,and puts a,2,puts a hand,2,wheres the anger,2,the anger coming,2,anger coming from,2,you must be,1,must be jerry,1,be jerry thats,1,jerry thats a,1,thats a fine,1,and puts a hand,2,wheres the anger coming,2,the anger coming from,2,you must be jerry,1,must be jerry thats,1,be jerry thats a,1,jerry thats a fine,1,thats a fine lookin,1,a fine lookin apron,1,fine lookin apron william,1,wheres the anger coming from,2,you must be jerry thats,1,must be jerry thats a,1,be jerry thats a fine,1,jerry thats a fine lookin,1,thats a fine lookin apron,1,a fine lookin apron william,1,fine lookin apron william sonoma,1,now we are talkin this,1,we are talkin this mans,1
jaguar,pickle,4,man,3,never,2,freedom,1,while,1,leader,1,breathes,1,our,1,country,1,prison,1,there is no,1,is no freedom,1,no freedom while,1,freedom while your,1,while your leader,1,your leader breathes,1,leader breathes our,1,breathes our country,1,our country is,1,country is a,1,there is no freedom,1,is no freedom while,1,no freedom while your,1,freedom while your leader,1,while your leader breathes,1,your leader breathes our,1,leader breathes our country,1,breathes our country is,1,our country is a,1,country is a prison,1,there is no freedom while,1,is no freedom while your,1,no freedom while your leader,1,freedom while your leader breathes,1,while your leader breathes our,1,your leader breathes our country,1,leader breathes our country is,1,breathes our country is a,1,our country is a prison,1,pickle man you should know,1
jerry,not,60,youre,51,well,50,know,44,rick,43,oh,38,dont,35,okay,33,about,32,beth,32,you know what,8,oh my god,7,what the hell,6,davin davin davin,6,you guys are,5,its not a,4,what do you,4,im a good,4,a good person,4,i want to,4,davin davin davin davin,5,im a good person,4,we got to get,3,pluto is a planet,3,no matter how much,2,matter how much it,2,i wasnt paying attention,2,thing out of place,2,you dont have to,2,come on this is,2,davin davin davin davin davin,4,no matter how much it,2,your relationship with your father,2,relationship with your father is,2,we got to get out,2,all the bad stuff you,2,the bad stuff you did,2,bad stuff you did to,2,it can be a planet,2,int smith residence rick and,2
jerry-sitter,well,2,oh,2,tube,2,look,1,fella,1,pinches,1,jerrys,1,cheek,1,arent,1,handsome,1,well look at,1,look at this,1,at this fella,1,this fella pinches,1,fella pinches jerrys,1,pinches jerrys cheek,1,jerrys cheek arent,1,cheek arent you,1,arent you handsome,1,as if speaking,1,well look at this,1,look at this fella,1,at this fella pinches,1,this fella pinches jerrys,1,fella pinches jerrys cheek,1,pinches jerrys cheek arent,1,jerrys cheek arent you,1,cheek arent you handsome,1,as if speaking to,1,if speaking to a,1,well look at this fella,1,look at this fella pinches,1,at this fella pinches jerrys,1,this fella pinches jerrys cheek,1,fella pinches jerrys cheek arent,1,pinches jerrys cheek arent you,1,jerrys cheek arent you handsome,1,as if speaking to a,1,if speaking to a child,1,speaking to a child oh,1
jessica,morty,15,know,6,him,6,them,6,love,4,brad,4,dont,3,think,3,mean,3,really,3,you know what,3,i mean really,2,how do you,2,do you know,2,know what i,2,i love you,2,leave him alone,2,i dont know,1,dont know i,1,know i think,1,you know what i,2,i dont know i,1,dont know i think,1,know i think id,1,i think id like,1,think id like to,1,id like to be,1,like to be on,1,to be on my,1,be on my own,1,i dont know i think,1,dont know i think id,1,know i think id like,1,i think id like to,1,think id like to be,1,id like to be on,1,like to be on my,1,to be on my own,1,be on my own for,1,on my own for a,1
kiara,varrix,2,hunt,2,celebrate,2,learn,1,uloo,1,chaimuntolo,1,younglings,1,fathers,1,mind,1,holds,1,you have much,1,have much to,1,much to learn,1,to learn my,1,learn my uloo,1,your fathers mind,1,fathers mind holds,1,mind holds love,1,holds love for,1,love for you,1,you have much to,1,have much to learn,1,much to learn my,1,to learn my uloo,1,your fathers mind holds,1,fathers mind holds love,1,mind holds love for,1,holds love for you,1,love for you i,1,for you i am,1,you have much to learn,1,have much to learn my,1,much to learn my uloo,1,your fathers mind holds love,1,fathers mind holds love for,1,mind holds love for you,1,holds love for you i,1,love for you i am,1,for you i am humbled,1,you i am humbled to,1
kyle,universe,5,not,2,wont,2,other,2,made,2,guy,2,once,1,learn,1,accelerate,1,temporal,1,made a universe,2,a universe and,2,universe and that,2,and that guy,2,its not much,1,not much now,1,much now but,1,now but once,1,but once i,1,once i learn,1,made a universe and,2,universe and that guy,2,its not much now,1,not much now but,1,much now but once,1,now but once i,1,but once i learn,1,once i learn to,1,i learn to accelerate,1,learn to accelerate the,1,its not much now but,1,not much now but once,1,much now but once i,1,now but once i learn,1,but once i learn to,1,once i learn to accelerate,1,i learn to accelerate the,1,learn to accelerate the temporal,1,to accelerate the temporal field,1,accelerate the temporal field ill,1
large man,food,3,oh,1,sure,1,while,1,making,1,everyone,1,takes,1,care,1,kids,1,extra,1,i do but,1,do but this,1,but this is,1,this is for,1,is for me,1,oh sure and,1,sure and while,1,and while im,1,while im making,1,im making food,1,i do but this,1,do but this is,1,but this is for,1,this is for me,1,oh sure and while,1,sure and while im,1,and while im making,1,while im making food,1,im making food for,1,making food for everyone,1,i do but this is,1,do but this is for,1,but this is for me,1,oh sure and while im,1,sure and while im making,1,and while im making food,1,while im making food for,1,im making food for everyone,1,making food for everyone who,1,food for everyone who takes,1
leonard,jacob,2,live,2,body,2,eternity,2,sometimes,2,merry,1,christmas,1,son,1,puts,1,arm,1,no no no,2,sometimes from a,2,merry christmas son,1,puts an arm,1,an arm around,1,arm around jacobs,1,around jacobs shoulders,1,jacobs shoulders the,1,shoulders the way,1,the way we,1,puts an arm around,1,an arm around jacobs,1,arm around jacobs shoulders,1,around jacobs shoulders the,1,jacobs shoulders the way,1,shoulders the way we,1,the way we see,1,way we see it,1,we see it hes,1,see it hes a,1,puts an arm around jacobs,1,an arm around jacobs shoulders,1,arm around jacobs shoulders the,1,around jacobs shoulders the way,1,jacobs shoulders the way we,1,shoulders the way we see,1,the way we see it,1,way we see it hes,1,we see it hes a,1,see it hes a part,1
lighthouse keeper,jacey,5,her,4,youre,4,want,4,take,3,fade,3,blane,3,dont,3,need,3,only,2,i want you,2,want you out,2,i take no,1,take no part,1,no part in,1,part in the,1,in the festival,1,the festival if,1,festival if you,1,if you desire,1,i want you out,2,i take no part,1,take no part in,1,no part in the,1,part in the festival,1,in the festival if,1,the festival if you,1,festival if you desire,1,if you desire to,1,you desire to kill,1,i take no part in,1,take no part in the,1,no part in the festival,1,part in the festival if,1,in the festival if you,1,the festival if you desire,1,festival if you desire to,1,if you desire to kill,1,you desire to kill me,1,desire to kill me i,1
lizard morty,guess,2,wish,2,necklace,2,glasses,2,wont,1,seein,1,other,1,after,1,huh,1,not,1,guess we wont,1,we wont be,1,wont be seein,1,be seein each,1,seein each other,1,each other after,1,other after this,1,after this huh,1,if were not,1,were not here,1,guess we wont be,1,we wont be seein,1,wont be seein each,1,be seein each other,1,seein each other after,1,each other after this,1,other after this huh,1,if were not here,1,were not here for,1,not here for graduation,1,guess we wont be seein,1,we wont be seein each,1,wont be seein each other,1,be seein each other after,1,seein each other after this,1,each other after this huh,1,if were not here for,1,were not here for graduation,1,not here for graduation our,1,here for graduation our butts,1
lucy,going,5,jerry,4,cape,3,fear,3,get,2,yes,2,ive,2,jacks,2,their,2,draw,2,then youre going,2,youre going to,2,im going to,2,i uh i,1,uh i could,1,i could get,1,could get into,1,get into trouble,1,oh yes ive,1,yes ive worked,1,then youre going to,2,i uh i could,1,uh i could get,1,i could get into,1,could get into trouble,1,oh yes ive worked,1,yes ive worked here,1,ive worked here since,1,worked here since it,1,here since it opened,1,i uh i could get,1,uh i could get into,1,i could get into trouble,1,oh yes ive worked here,1,yes ive worked here since,1,ive worked here since it,1,worked here since it opened,1,here since it opened but,1,since it opened but ive,1,it opened but ive never,1
man,food,4,golf,3,hey,2,easy,2,hard,2,hello,2,better,2,ey,2,ill,2,get,2,golf is hard,2,better than me,2,hey golf is,1,golf is easy,1,is easy now,1,aahh golf is,1,is hard again,1,hard again golf,1,again golf is,1,is hard agaaaaaaain,1,hey golf is easy,1,golf is easy now,1,aahh golf is hard,1,golf is hard again,1,is hard again golf,1,hard again golf is,1,again golf is hard,1,golf is hard agaaaaaaain,1,hey excuse me hello,1,what you think youre,1,hey golf is easy now,1,aahh golf is hard again,1,golf is hard again golf,1,is hard again golf is,1,hard again golf is hard,1,again golf is hard agaaaaaaain,1,what you think youre better,1,you think youre better than,1,think youre better than me,1,youre better than me nobodys,1
mechanical morty,geez,4,want,4,aw,3,alive,3,stuff,2,kind,2,quote,2,mode,2,mom,2,happy,2,i want to,4,aw geez im,1,geez im so,1,im so down,1,so down with,1,down with my,1,with my parents,1,my parents divorce,1,parents divorce dawg,1,divorce dawg like,1,aw geez im so,1,geez im so down,1,im so down with,1,so down with my,1,down with my parents,1,with my parents divorce,1,my parents divorce dawg,1,parents divorce dawg like,1,divorce dawg like dont,1,dawg like dont even,1,aw geez im so down,1,geez im so down with,1,im so down with my,1,so down with my parents,1,down with my parents divorce,1,with my parents divorce dawg,1,my parents divorce dawg like,1,parents divorce dawg like dont,1,divorce dawg like dont even,1,dawg like dont even trip,1
mechanical summer,totally,3,am,2,summer,1,deal,1,fine,1,benefits,1,about,1,food,1,emotional,1,nourishment,1,i am summer,1,my deal is,1,deal is that,1,is that i,1,that i am,1,i am like,1,am like totally,1,like totally fine,1,its benefits are,1,benefits are totally,1,my deal is that,1,deal is that i,1,is that i am,1,that i am like,1,i am like totally,1,am like totally fine,1,its benefits are totally,1,benefits are totally like,1,are totally like less,1,totally like less about,1,my deal is that i,1,deal is that i am,1,is that i am like,1,that i am like totally,1,i am like totally fine,1,its benefits are totally like,1,benefits are totally like less,1,are totally like less about,1,totally like less about the,1,like less about the food,1
